City ,City ID,Dark Store Code,Dark Store Type (Branch / Independent),Dark Store Name,Location,Lat,Long
DAVANGERE,750,DSBB50,BRANCH,DS DAVANGERE,"NO. 1214/D1/ 135 APMC YARD, D BLOCK, DAVANGERE-577003",14.45819985,75.93869766
AMARAVATI,1010,DSIB0023,INDEPENDENT,DS AMRAVATI STANDALONE,"43 PART 56-C, NAZAL SHEET, AMRAVATI, MAHARASHTRA-444601",20.9340578,77.7579188
DELHI,458,DSBN02,BRANCH,DS TRANSYAMUNA,"A-5, KHASRA NO. 137, MAIN ROAD, GAZIPUR, NEAR BHARAT PETROL PUMP",28.634016,77.31575
MUMBAI,1045,DSBM07,BRANCH,DS THANE,"SHOP.A, GROUND FLOOR, ANAND KAVACH BUILDING, SERVICE ROAD, OPP MAJIWADA FLYOVER, NEAR FLOWER VALLEY, THANE (WEST) - 400 602",19.2098062,72.9751924
BANGALORE,728,DSBB06,BRANCH,DS BOMMANAHALLI,"PLOT NO 7, SURVEY NO 114, HONGASANDRA VILLAGE, BEGUR, HOBLI, GARVEBHAVIPALYA, BANGALORE-560068",12.89117,77.642539
DELHI,458,DSBN03,BRANCH,DS NARAINA CITY,"WZ-127, NARAINA VILLAGE, NEAR METRO EXIT GATE NO 2, INNER RING ROAD",28.62285529,77.1359227
BANGALORE,728,DSBB11,BRANCH,DS HENNUR,"SITE NO. 9, H. L. NO 2324/15,KHATA NO. 3658, H.B.R. LAYOUT, 3RD BLOCK, KRISHNA REDDY LAYOUT, KALYANNAGAR, BANGALORE 560043",13.02813674,77.63153566
DELHI,458,DSBN15,BRANCH,DS DURGAPURI,"B-16/6, JHILMIL INDUSTRIAL AREA, NEAR JHILMIL METRO STATION, GATE NO 1, NEW DELHI -110095",28.6753424,77.3121565
MATHURA,1497,DSIB0026,INDEPENDENT,DS MATHURA STANDALONE,"KRISHNA PLACE, TRANSPORT NAGAR, MATHURA-281001",27.4867,77.65049
UJJAIN,1079,DSIB0027,INDEPENDENT,DS UJJAIN STANDALONE,"12 GHATPARKAR MARG, OPPOSITE SKECHER SHOWROOM, FREEGANJ, UJJAIN, MADHYA PRADESH-456010",23.178529,75.793577
WARANGAL,327,DSIB0028,INDEPENDENT,DS WARANGAL STANDALONE,"H. NO: 11-24-209, SHUTTER NOS. 1 & 2, 80 FT ROAD, WARANGAL-506002",17.9913389,79.60301597
MUMBAI,1045,DSBM04,BRANCH,DS MIDC,"SHOP NO.3 & 4, 139/A, MTNL COMPOUND, OPP FIRE BRIGADE, MAROL MAROSHI ROAD, MAROL, ANDHERI (E), MUMBAI-400059",19.109877,72.878537
BHIWANDI,985,DSBM35,BRANCH,DS BHIWANDI FC06,"42/1,42/2 - MUMBAI NASIK HIGHWAY, WALSHIND VILLAGE, NEXT TO MACDONALD RESTAURANT, BHIWANDI-421302",19.30625904,73.10881733
